0,1,2,3,4,5,6,7,8
160504000012026NC400001,160429,13 COMPANHIA DE COMUNICACOES MECANIZADA,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLA5CF,"(031914-13ª CIA COM MEC)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO PDRLOG-A5 (SV MANUTENCAO CAMARA FRIGO ATENDER EM 2026).REF: DIEX Nº 22957-E4/CMDO 3ª RM, DE 24DEZ25. EMPH ATE 48H. PRB DETAORC.",,10540.0
160504000012026NC400009,160301,COMISSAO REGIONAL DE OBRAS/1,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLA5CF,"(070037-2º RC GD)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO PDRLOG-A5 (SV MANUTENCAO CAMARA FRIGO NR OPUS: 202501000353).REF: DIEX Nº 13040-DOM/DEC, DE 23DEZ25. EMPH ATE 48H. PRB DETAORC.",,45000.0
160504000012026NC400010,160301,COMISSAO REGIONAL DE OBRAS/1,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLA5CF,"(012526-BCMS)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO PDRLOG-A5 (SV MANUTENCAO CAMARA FRIGO NR OPUS:202501000312).REF: DIEX Nº 13040-DOM/DEC, DE 23DEZ25. EMPH ATE 48H. PRB DETAORC.",,10000.0
160504000012026NC400011,160301,COMISSAO REGIONAL DE OBRAS/1,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLA5CF,"(012492-BMSA)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO PDRLOG-A5 (SV MANUTENCAO CAMARA FRIGO NR OPUS: 202501000307).REF: DIEX Nº 13040-DOM/DEC, DE 23DEZ25. EMPH ATE 48H. PRB DETAORC.",,30000.0
160504000012026NC400012,160120,4. DEPOSITO DE SUPRIMENTO,339030,MATERIAL DE CONSUMO,E6SUSOLA5CF,"(040642-4º D SUP)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO PDRLOG-A5 (AQS MATERIAL DE CONSUMO CAMARA FRIGO - OP).REF: DIEX Nº 24998-ESC LOG/E4/CMDO 4ª RM, DE 31DEZ26. EMPH ATE 48H. PRB DETAORC.",,40024.85
160504000012026NC400013,160111,COMANDO DA 4A BDA DE INFANTARIA LEVE MONTANHA,339030,MATERIAL DE CONSUMO,E6SUSOLA5CF,"(005421-10º BIL MTH)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO PDRLOG-A5 (AQS MATERIAL DE CONSUMO CAMARA FRIGO).REF: DIEX Nº 182-ESC LOG/E4/CMDO 4ª RM, DE 06JAN26. EMPH ATE 48H. PRB DETAORC.",,3700.0
160504000012026NC400014,160450,14 REGIMENTO DE CAVALARIA MECANIZADO,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLA5CF,"(070813-14º RC MEC)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO PDRLOG-A5 (SV MANUTENCAO CAMARA FRIGO).REF: DIEX Nº 15-SEC REMONTA E VETERINARIA/ESC LOG/CH EM, DE 05JAN26. EMPH ATE 48H. PRB DETAORC.",,2300.0
160504000012026NC400015,160515,COMANDO DA 2A BRIGADA DE INFANTARIA DE SELVA,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLA5CF,"(021832-CMDO FRON-RN/5º BIS)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO PDRLOG-A5 (SV MANUTENCAO CAMARA FRIGO).REF: DIEX Nº 74-B ADM/CMDO 2ª BDA INF SL, DE 05JAN26. EMPH ATE 48H. PRB DETAORC.",,5830.0
160504000012026NC400016,160470,12 GRUPO DE ARTILHARIA DE CAMPANHA,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLA5CF,"(056010-12º GAAAE SL)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO PDRLOG-A5 (SV MANUTENCAO CAMARA FRIGO).REF: DIEX Nº 23606-ESCALAO LOGISTICO/2ªRM, DE 14NOV25. EMPH ATE 48H. PRB DETAORC.",,32850.0
160504000012026NC400017,160111,COMANDO DA 4A BDA DE INFANTARIA LEVE MONTANHA,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLA5CF,"(005421-10º BIL MTH)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO PDRLOG-A5 (SV MANUTENCAO CAMARA FRIGO).REF: DIEX Nº 182-ESC LOG/E4/CMDO 4ª RM, DE 06JAN26. EMPH ATE 48H. PRB DETAORC.",,7900.0
