0,1,2,3,4,5,6,7,8
160504000012026NC000092,160468,ESCOLA PREPARATORIA DE CADETES DO EXERCITO,339030,MATERIAL DE CONSUMO,E6SUPLJA1QR,"(049403-ESPCEX)CSUP-DIVSUBS-PLJ-AQS QR 1ª PRV MAR-AGO26(OBS REGRAS BT30.410-01).R$7,00.22D.06M.925H.REF PRDRLOG 2026.EMPH ATE 30 NOV 26.SALDO NA PRVRP343.615,66NEALIQ0,00DSPN0,00TRNF-29.880,00ADNT0,00.PRB DETAORC.",,824820.0
160504000012026NC400002,160055,16 BATALHAO LOGISTICO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(011601-16º B LOG)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (PASSAGEM DE CMDO DO 16¤ B LOG) REF: DIEX Nº 25466-SEC SUP/ESC LOG/EM, DE 23DEZ25. EMPH ATE 30 DIAS. PRB DETAORC.",,10000.0
160504000012026NC400003,160297,COMANDO DA 1ª  DIVISAO DE  EXERCITO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(012930-11º BPE)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (PASSAGEM DE COMANDO DO 11º BPE) REF: DIEX Nº 210-SECOPSUP/ESCLOG/CMDO 1ª RM, DE 07JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,5201.5
160504000012026NC400004,160252,1º BATALHAO DE ENGENHARIA DE COMBATE,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(012948-1º BE CMB (ES))C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DO 1º BE CMB) REF: DIEX Nº 210-SECOPSUP/ESCLOG/CMDO 1ª RM, DE 07JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,4830.0
160504000012026NC400005,160299,COMANDO DO COMANDO MILITAR DO LESTE,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(017269-CGEA)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ESTG CH E INST TG 2026) REF: DIEX Nº 210-SECOPSUP/ESCLOG/CMDO 1ª RM, DE 07JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,3150.0
160504000012026NC400006,160244,COMANDO DE ARTILHARIA DIVISIONARIA DA 1 DE,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(013219-BIA C AD/1)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (PASSAGEM DE COMANDO DA BIA CMDO AD/1) REF: DIEX Nº 210-SECOPSUP/ESCLOG/CMDO 1ª RM, DE 07JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,8000.0
160504000012026NC400007,160323,HOSPITAL GERAL DO RIO DE JANEIRO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(059410-H GE RJ)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DO HGERJ) REF: DIEX Nº 210-SECOPSUP/ESCLOG/CMDO 1ª RM, DE 07JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,4000.0
160504000012026NC400008,160296,BASE ADM DA BRIGADA DE INFANTARIA PQDT,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(032201-20ª CIA COM PQDT)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (PASSAGEM DE COMANDO DA 20ª CIA COM PQDT) REF: DIEX Nº 210-SECOPSUP/ESCLOG/CMDO 1ª RM, DE 07JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,3000.0
160504000012026NC400032,160195,COMANDO DO COMANDO MILITAR DO NORDESTE,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(023515-CMDO CMNE)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (PASSAGEM DE FUNCAO DO CHEM DA 7ª DE) REF: DIEX-18447-SEC CL I/CCOL/CH EM, DE 29DEZ25. EMPH ATE 30 DIAS. PRB DETAORC.",,3000.0
160504000012026NC400033,160014,COMANDO 12 REGIAO MILITAR,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(025239-CMDO 12ª RM)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (PASSAGEM CH CHEM 12ª RM) REF: DIEX Nº 14106-CL I/SEC SUP/CCOL, DE 31DEZ25. EMPH ATE 30 DIAS. PRB DETAORC.",,8000.0
