OM,CODOM,CODUG,SIGLA_UG
10ª Cia E Cmb,34652,160023,10ª Cia E Cmb
10º B Log,11403,160354,10º B Log
10º BIL Mth,5421,160111,Cmdo 4ª Bda Inf L Mth
10º CGCFEx,62273,160045,Ba Adm / Gu F
10º D Sup,40709,160049,10º D Sup
10º Esqd C Mec,50260,160225,Ba Adm / Curado
10º GAC Sl,58263,160482,Cmdo 1ª Bda Inf SI
10º Pel PE,65524,160225,Ba Adm / Curado
10º RC Mec,70649,160133,10º RC Mec
111ª Cia Ap MB,27201,160264,111ª Cia Ap MB
11ª Bia AAAe AP,13334,160234,5º RCC
11ª Cia Com Mec,31716,160422,Cmdo 1ª Bda C Mec
11ª Cia E Cmb L,34892,160477,2º BE Cmb
11º BI Mth,7229,160126,11º BI Mth
11º BPE,12930,160297,Cmdo 1ª DE
11º C G C F Ex,62299,160054,11º C G C F Ex
11º CT,15255,160192,Ba Adm Ap / 5ª RM
11º D Sup,40725,160072,11º D Sup
11º GAAAe,55574,160053,11º GAAAe
11º GAC,55905,160263,11º GAC
11º Pel PE,65649,160466,Cmdo 11ª Bda Inf Mec
11º RC Mec,70672,160152,11º RC Mec
12ª Cia Com L,31815,160462,Cmdo Bda Inf Amv
12ª Cia Com Mec,31823,160357,12ª Cia Com Mec
12ª Cia E Cmb L,34835,160477,2º BE Cmb
12º B E Cmb Bld,4234,160356,12º BE Cmb Bld
12º B Sup,12997,160018,12º B Sup
12º BIL Mth,5629,160108,12º BIL Mth
12º CGCFEx,62315,160020,HMAM
12º Esqd C Mec,50336,160482,Cmdo 1ª Bda Inf SI
12º GAAAe Sl,13318,160016,Cmdo CMA
12º GAC,56010,160470,12º GAAAe
12º Pel PE,65656,160462,Cmdo Bda Inf Amv
12º RC Mec,70714,160383,12º RC Mec
13ª Cia Com Mec,31914,160429,13ª Cia Com Mec
13ª Cia DAM,32847,160406,13ª Cia DAM
13º BIB,6809,160232,13º BIB
13º GAC,56101,160366,13º GAC
13º Pel Com,65383,160158,Cmdo 13ª Bda Inf Mtz
13º Pel PE,65664,160158,Cmdo 13ª Bda Inf Mtz
13º RC Mec,70722,160478,13º RC Mec
14ª Cia Com Mec,32219,160149,Cmdo 4ª Bda C Mec
14ª Cia E Cmb,36467,160517,14ª Cia E Cmb
14º B Log,11502,160185,14º B Log
14º BI Mtz,7609,160225,Ba Adm / Curado
14º GAC,56200,160123,14º GAC
14º Pel PE,65532,160444,Cmdo 14ª Bda Inf Mtz
14º RC Mec,70813,160450,14º RC Mec
15ª Cia Com Mec,32235,160209,Cmdo 15ª Bda Inf Mec
15ª Cia E Cmb Mec,34934,160230,15ª Cia E Cmb Mec
15ª Cia Inf Mtz,36731,160227,15ª Cia Inf Mtz
15ª Cia PE,37812,160161,2º BIS
15º B Log,11551,160524,15º B Log
15º BI Mtz,7708,160175,Ba Adm / Gu JP
15º GAC AP,56309,160229,15º GAC AP
15º RC Mec (Es),70938,160265,15º RC Mec (Es)
16ª Ba Log,1172,160537,Cmdo 16ª Bda Inf SI
16ª Cia PE,37820,160045,Ba Adm / Gu F
16º B Log,11601,160055,16º B Log
16º BI Mtz,7807,160342,Ba Adm / Gu N
16º Esqd C Mec,50385,160378,16º Esqd C Mec
16º GMF,58552,160479,Cmdo Art Ex
16º Pel Com Sl,65342,160537,Cmdo 16ª Bda Inf SI
16º RC Mec,71001,160175,Ba Adm / Gu JP
17ª Cia Inf Sl,30981,160349,Cmdo 17ª Bda Inf SI
17º B Fron,4770,160145,17º B Fron
