cache_key,numero_solicitacao,codom,codug,pi,nd,valor,om_chave,nc_siafi
0|160002|||0.00,,0,160002,,,0.00,,402388
0|160004|||0.00,,0,160004,,,0.00,,403145
0|160005|||0.00,,0,160005,,,0.00,,402412
0|160006|||0.00,,0,160006,,,0.00,,402394
0|160007|||0.00,,0,160007,,,0.00,,402334
0|160008|||0.00,,0,160008,,,0.00,,402399
0|160011|||0.00,,0,160011,,,0.00,,402402
0|160012|||0.00,,0,160012,,,0.00,,402403
0|160013|||0.00,,0,160013,,,0.00,,402405
0|160014|||0.00,,0,160014,,,0.00,,402407
0|160016|||0.00,,0,160016,,,0.00,,402409
0|160017|||0.00,,0,160017,,,0.00,,402413
0|160018|||0.00,,0,160018,,,0.00,,402233
0|160020|||0.00,,0,160020,,,0.00,,402417
0|160021|||0.00,,0,160021,,,0.00,,402362
0|160022|||0.00,,0,160022,,,0.00,,402455
0|160023|||0.00,,0,160023,,,0.00,,403119
0|160024|||0.00,,0,160024,,,0.00,,402424
0|160027|||0.00,,0,160027,,,0.00,,402813
0|160028|||0.00,,0,160028,,,0.00,,403401
0|160030|||0.00,,0,160030,,,0.00,,403402
0|160033|||0.00,,0,160033,,,0.00,,403403
0|160034|||0.00,,0,160034,,,0.00,,403125
0|160036|||0.00,,0,160036,,,0.00,,403399
0|160038|||0.00,,0,160038,,,0.00,,403400
0|160039|||0.00,,0,160039,,,0.00,,403406
0|160040|||0.00,,0,160040,,,0.00,,403090
0|160041|||0.00,,0,160041,,,0.00,,402288
0|160045|||0.00,,0,160045,,,0.00,,402384
0|160046|||0.00,,0,160046,,,0.00,,402375
0|160049|||0.00,,0,160049,,,0.00,,402291
0|160050|||0.00,,0,160050,,,0.00,,402324
0|160053|||0.00,,0,160053,,,0.00,,402298
0|160055|||0.00,,0,160055,,,0.00,,402346
0|160057|||0.00,,0,160057,,,0.00,,402347
0|160058|||0.00,,0,160058,,,0.00,,402348
0|160059|||0.00,,0,160059,,,0.00,,402386
